concept,dimension,member,observations,companies,company_periods
Equity,EquityClassesDimension,ShareCapitalPreferenceShareClass3,102,46,94
Equity,EquityClassesDimension,FurtherSpecificReserve4ComponentTotalEquity,88,35,80
Equity,RestatementsFirstTimeAdoptionDimension,AccountingPolicyChangeIncreaseDecrease,85,49,85
Equity,EquityClassesDimension,Available-for-saleInvestmentsReserve,69,7,36
Equity,EquityClassesDimension,ShareCapitalOtherShareClass1,55,25,52
Equity,EquityClassesDimension,ShareCapitalPreferenceShareClass4,40,20,39
Equity,EquityClassesDimension,ShareCapitalOtherShareClass2,39,17,36
Equity,EquityClassesDimension,SharePremiumPreferenceShares,25,13,25
Equity,EquityClassesDimension,ShareCapitalPreferenceShareClass5,25,12,24
Equity,EquityClassesDimension,ShareCapitalOtherShareClass3,25,12,24
Equity,CharityFundsDimension,TotalUnrestrictedFunds,20,5,15
Equity,EquityClassesDimension,SharePremiumOtherShareTypes,15,7,14
Equity,CharityFundsDimension,TotalRestrictedIncomeFunds,15,4,11
Equity,RestatementsFirstTimeAdoptionDimension,CumulativeEffectDateInitialApplicationIncreaseDecrease,14,7,14
Equity,EquityClassesDimension,SpecialReserveInvestmentFundsOnly,13,6,13
Equity,CharityFundsDimension,UnrestrictedFundsGeneral,12,5,11
Equity,EquityClassesDimension,RevenueReservesInvestmentFundsOnly,10,7,10
Equity,EquityClassesDimension,ShareBuy-backReserve,10,6,9
Equity,CharityFundsDimension,RestrictedIncomeFunds,9,4,8
Equity,ProductsServicesDimension,ProductService2,8,8,8
Equity,ProductsServicesDimension,ProductService3,8,8,8
Equity,ProductsServicesDimension,ProductService1,8,8,8
Equity,EquityClassesDimension,WarrantReserve,6,3,6
Equity,EquityClassesDimension,ShareCapitalOtherShareClass4,5,3,5
Equity,EquityClassesDimension,ESOPReserve,5,2,4
Equity,OriginalRevisedDataDimension,Revised,5,5,5
Equity,EquityClassesDimension,TaxationReserve,5,4,5
Equity,CharityFundsDimension,UnrestrictedFundsDesignated,4,2,4
Equity,EquityClassesDimension,LegalStatutoryReserve,4,1,4
Equity,CharityFundsDimension,EndowmentFundsPermanent,4,1,3
Equity,EquityClassesDimension,CapitalReservesInvestmentFundsOnly,4,3,4
Equity,EquityClassesDimension,GoodwillReserve,3,1,3
Equity,CharityFundsDimension,TotalEndowmentFunds,2,1,2
Equity,EquityClassesDimension,GeneralBankingRisksReserve,1,1,1
Equity,SegmentReconciliationDimension,IncreaseDecreaseFromMaterialReconcilingItems,1,1,1
Equity,CharityFundsDimension,RevaluationReserveUnrestricted,1,1,1
Equity,EquityClassesDimension,AssetsDisposalGroupsHeldForSaleReserve,1,1,1
Equity,SegmentReconciliationDimension,OriginalSegmentValueBeforeAdjustments,1,1,1
Equity,OperatingSegmentsDimension,UnallocatedAmountReportableOperatingSegments,1,1,1
NetCurrentAssetsLiabilities,OriginalRevisedDataDimension,Original,460036,236654,457661
NetCurrentAssetsLiabilities,RestatementsFirstTimeAdoptionDimension,RestatedAmount,92180,37945,92153
NetCurrentAssetsLiabilities,GroupCompanyDataDimension,Consolidated,11948,3295,9356
NetCurrentAssetsLiabilities,CharityFundsDimension,TotalUnrestrictedFunds,8426,2639,8422
NetCurrentAssetsLiabilities,CharityFundsDimension,TotalRestrictedIncomeFunds,8321,2535,8316
NetCurrentAssetsLiabilities,RestatementsFirstTimeAdoptionDimension,IncreaseDecreaseDueToTransitionFromPreviousStandard,2280,1308,2277
NetCurrentAssetsLiabilities,RestatementsFirstTimeAdoptionDimension,PreviouslyStatedAmount,1207,753,1199
NetCurrentAssetsLiabilities,RestatementsDimension,RestatedAmount,435,427,434
NetCurrentAssetsLiabilities,ContinuingDiscontinuedOperationsDimension,ContinuingOperations,290,43,187
NetCurrentAssetsLiabilities,CharityFundsDimension,TotalEndowmentFunds,219,75,219
NetCurrentAssetsLiabilities,GroupCompanyDimension,Consolidated,113,42,99
NetCurrentAssetsLiabilities,RestatementsFirstTimeAdoptionDimension,PriorPeriodIncreaseDecrease,15,11,15
NetCurrentAssetsLiabilities,CharityFundsDimension,UnrestrictedFundsGeneral,9,4,8
NetCurrentAssetsLiabilities,RestatementsFirstTimeAdoptionDimension,PriorPeriodErrorIncreaseDecrease,7,4,7
NetCurrentAssetsLiabilities,RestatementsFirstTimeAdoptionDimension,AccountingPolicyChangeIncreaseDecrease,7,3,7
NetCurrentAssetsLiabilities,RestatementsFirstTimeAdoptionDimension,CumulativeEffectDateInitialApplicationIncreaseDecrease,6,2,6
NetCurrentAssetsLiabilities,CharityFundsDimension,RestrictedIncomeFunds,3,2,3
NetCurrentAssetsLiabilities,CharityFundsDimension,UnrestrictedFundsDesignated,2,2,2
NetCurrentAssetsLiabilities,GeographicSegmentsDimension,EnglandWales,2,1,2
NetCurrentAssetsLiabilities,OriginalRevisedDataDimension,Revised,2,2,2
NetCurrentAssetsLiabilities,GeographicSegmentsDimension,UnitedKingdom,1,1,1
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,PlantMachinery,6530129,857733,4162634
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,FurnitureFittings,3462991,468728,2234805
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,ComputerEquipment,3312020,484699,2166626
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,MotorVehicles,2715341,365939,1746734
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,LandBuildings,1827868,245758,1161044
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,OtherPropertyPlantEquipment,1337741,199071,854491
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,FurnitureFittingsToolsEquipment,840371,147858,555231
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,OfficeEquipment,521020,111139,362762
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,Vehicles,474899,82247,306543
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,LeaseholdImprovements,318071,41911,205462
PropertyPlantEquipment,OriginalRevisedDataDimension,Original,219504,111386,218577
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,MotorCars,92653,18486,61009
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,Buildings,81540,12774,53609
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,ToolsEquipment,78674,13779,53095
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,InvestmentPropertyIncludedWithinPPE,62442,12015,44357
PropertyPlantEquipment,PPEOwnershipDimension,LeasedAssetsHeldAsLessee,58498,10267,40068
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,CommercialMotorVehicles,47164,7522,31153
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,Non-standardPPEClass1ComponentTotalPropertyPlantEquipment,39946,6809,26733
PropertyPlantEquipment,GroupCompanyDataDimension,Consolidated,35119,7588,25483
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,ConstructionInProgressAssetsUnderConstruction,23991,4677,15986
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,VehiclesPlantMachinery,7936,1309,5297
PropertyPlantEquipment,CharityFundsDimension,TotalUnrestrictedFunds,6370,2071,6367
PropertyPlantEquipment,CharityFundsDimension,TotalRestrictedIncomeFunds,6331,2019,6327
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,Non-standardPPEClass2ComponentTotalPropertyPlantEquipment,4057,652,2666
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,Land,2310,414,1579
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,Non-standardPPEClass3ComponentTotalPropertyPlantEquipment,2091,359,1380
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,OtherVehicles,1677,325,1177
PropertyPlantEquipment,RestatementsFirstTimeAdoptionDimension,RestatedAmount,1603,1392,1599
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,CommunicationNetworkEquipment,1391,366,1034
PropertyPlantEquipment,RestatementsFirstTimeAdoptionDimension,IncreaseDecreaseDueToTransitionFromPreviousStandard,1050,581,1048
PropertyPlantEquipment,RestatementsFirstTimeAdoptionDimension,PreviouslyStatedAmount,728,460,719
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,TotalPropertyPlantEquipmentOtherThanExplorationEvaluationAssets,402,70,269
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,ShipsBoats,346,72,245
PropertyPlantEquipment,ContinuingDiscontinuedOperationsDimension,ContinuingOperations,267,171,257
PropertyPlantEquipment,PPEOwnershipDimension,OwnedOrFreeholdAssets,242,118,218
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,AssetsNotYetAvailableForUsePPE,201,104,180
PropertyPlantEquipment,PPEOwnershipDimension,LongLeaseholdAssets,188,180,186
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,NetworkAssets,186,72,155
PropertyPlantEquipment,CharityFundsDimension,TotalEndowmentFunds,166,61,166
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,Aircraft,157,34,105
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,OilGasProductionAssets,76,71,74
PropertyPlantEquipment,PPEOwnershipDimension,AssetsHeldForUseUnderLeasesLessor,64,32,61
PropertyPlantEquipment,PPEOwnershipDimension,Right-of-useAssets,37,21,34
PropertyPlantEquipment,PPEOwnershipDimension,ShortLeaseholdAssets,31,14,28
PropertyPlantEquipment,RestatementsFirstTimeAdoptionDimension,AccountingPolicyChangeIncreaseDecrease,21,16,21
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,TangibleExplorationEvaluationAssets,16,8,14
PropertyPlantEquipment,SegmentReconciliationDimension,OriginalSegmentValueBeforeAdjustments,16,6,14
PropertyPlantEquipment,CharityFundsDimension,UnrestrictedFundsGeneral,12,6,11
PropertyPlantEquipment,RestatementsFirstTimeAdoptionDimension,PriorPeriodErrorIncreaseDecrease,12,6,11
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,Non-standardPPEClass4ComponentTotalPropertyPlantEquipment,12,10,12
PropertyPlantEquipment,ProductsServicesDimension,ProductService1,11,10,11
PropertyPlantEquipment,ProductsServicesDimension,ProductService2,10,9,10
PropertyPlantEquipment,RestatementsFirstTimeAdoptionDimension,PriorPeriodIncreaseDecrease,10,10,10
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,OtherMiningAssets,10,8,10
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,TotalMineProperties,7,3,6
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,ProducingMines,6,6,6
PropertyPlantEquipment,CharityFundsDimension,RestrictedIncomeFunds,4,3,4
PropertyPlantEquipment,SegmentReconciliationDimension,DecreaseFromEliminationIntersegmentAmounts,4,1,3
PropertyPlantEquipment,SegmentReconciliationDimension,IncreaseDecreaseFromMaterialReconcilingItems,4,1,3
PropertyPlantEquipment,OriginalRevisedDataDimension,Revised,4,2,3
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,OilDepotsStorageTanksServiceStations,3,2,3
PropertyPlantEquipment,RestatementsFirstTimeAdoptionDimension,CumulativeEffectDateInitialApplicationIncreaseDecrease,3,1,3
PropertyPlantEquipment,OperatingSegmentsDimension,TotalReportableOperatingSegmentsIncludingAnyUnallocatedAmount,2,1,2
PropertyPlantEquipment,GeographicSegmentsDimension,TotalGeographicSegmentsIncludingAnyUnallocatedAmount,2,1,2
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,DeferredStrippingExpendituresForMineProperties,2,2,2
PropertyPlantEquipment,CharityFundsDimension,UnrestrictedFundsDesignated,2,2,2
PropertyPlantEquipment,ProductsServicesDimension,OtherProductsServices,1,1,1
PropertyPlantEquipment,PropertyPlantEquipmentClassesDimension,MiningAssetsUnderConstruction,1,1,1
PropertyPlantEquipment,ContinuingDiscontinuedOperationsDimension,Non-currentAssetsDisposalGroupsHeldForSale,1,1,1
PropertyPlantEquipment,CharityFundsDimension,EndowmentFundsExpendable,1,1,1
TotalAssetsLessCurrentLiabilities,OriginalRevisedDataDimension,Original,486331,250714,483616
