concept,observations,companies,kind,units,context_kind,pct_numeric_null,example_values
StatementThatDirectorsAcknowledgeTheirResponsibilitiesUnderCompaniesAct,1983,1983,non_numeric,,duration,100.00,"[""The directors acknowledge their responsibilities for complying with the requirements of the Companies Act 2006 with res…"",""The director acknowledges his responsibilities for complying with the requirements of the Companies Act 2006 with respe…"",""The directors acknowledge their responsibilities for:(a)ensuring that the company keeps accounting records which comply…""]"
StatementThatMembersHaveNotRequiredCompanyToObtainAnAudit,1962,1962,non_numeric,,duration,100.00,"[""The members have not required the company to obtain an audit in accordance with section 476 of the Companies Act 2006."",""T"",""The members have not required the company to obtain an audit of its financial statements for the year ended 30 April 20…""]"
NameProductionSoftware,1922,1922,non_numeric,,duration,100.00,"[""Companies House"",""CCH Software"",""IRIS Accounts Production""]"
AccumulatedDepreciationImpairmentPropertyPlantEquipment,1847,466,numeric,GBP,instant,2.87,"[""108,156"",""70,447"",""202,762""]"
PropertyPlantEquipmentGrossCost,1807,489,numeric,GBP,instant,2.88,"[""112,096"",""70,447"",""220,014""]"
LegalFormEntity,1702,1361,non_numeric,,duration,100.00,"["""",""private company, limited by shares"",""private company, limited by guarantee""]"
StatementThatCompanyEntitledToExemptionFromAuditUnderSection477CompaniesAct2006RelatingToSmallCompanies,1586,1586,non_numeric,,duration,100.00,"[""For the year ending 31 May 2021 the company was entitled to exemption under section 477 of the Companies Act 2006 relat…"",""For the financial year ended 30 April 2021 the company was entitled to exemption from audit under section 477 of the Co…"",""The company is entitled to exemption from audit under Section 477 of the Companies Act 2006 for the year ended 30 April…""]"
CashBankOnHand,1544,828,numeric,EUR; GBP,instant,0.84,"[""113,328"",""62,896"",""274,182""]"
FixedAssets,1523,806,numeric,GBP,instant,6.89,"[""-"",""6,222,904"",""6,227,607""]"
ReportTitle,1231,1231,non_numeric,,duration,100.00,"[""UNAUDITED FINANCIAL STATEMENTS"",""Unaudited Financial Statements for the Year Ended 30 April 2021"",""ANNUAL REPORT AND FINANCIAL STATEMENTS""]"
Debtors,1199,575,numeric,EUR; GBP,instant,3.92,"[""58,834"",""61,055"",""172,888""]"
VersionProductionSoftware,1170,1170,non_numeric,,duration,100.00,"[""CCH Accounts Production 2021.300"",""v21.3.0.583"",""CCH Accounts Production 2021.200""]"
CountryFormationOrIncorporation,1042,1042,non_numeric,,duration,100.00,"["""",""Diamond Coatings Limited is a private company limited by shares incorporated in England & Wales, company number 0443763…""]"
OtherCreditors,945,440,numeric,EUR; GBP,instant,3.07,"[""338"",""637"",""235,755""]"
IncreaseFromDepreciationChargeForYearPropertyPlantEquipment,872,421,numeric,GBP,duration,2.75,"[""985"",""0"",""1,734""]"
ApplicableLegislation,859,626,non_numeric,,duration,100.00,"[""""]"
DescriptionPrincipalActivities,852,852,non_numeric,,duration,100.00,"[""No description of principal activity"",""The principal activity of the company continued to be that of retail and wholsesale distribution of natural and health …"",""The principal activity of the company is Taxi operators.""]"
AddressLine1,765,758,non_numeric,,duration,100.00,"[""3rd Floor"",""10 Central Avenue"",""Coole and Haddock Solictors""]"
PostalCodeZip,763,755,non_numeric,,duration,100.00,"[""NG1 6EE"",""YO42 1NR"",""RH12 1DZ""]"
PrincipalLocation-CityOrTown,729,722,non_numeric,,duration,100.00,"[""Nottingham"",""York"",""Horsham""]"
StatementComplianceWithApplicableReportingFramework,700,700,non_numeric,,duration,100.00,"[""These financial statements have been prepared in accordance with FRS 102 “The Financial Reporting Standard applicable i…"",""These financial statements have been prepared in accordance with Financial Reporting Standard 102 \""The Financial Report…"",""These financial statements have been prepared in accordance with Financial Reporting Standard 102 Section 1A - 'The Fin…""]"
TradeCreditorsTradePayables,640,338,numeric,GBP,instant,7.03,"[""4,538"",""4,699"",""1,016,537""]"
DescriptionBodyAuthorisingFinancialStatements,634,634,non_numeric,,duration,100.00,"[""Board of Directors"",""director"",""Board""]"
DescriptionDepreciationMethodForPropertyPlantEquipment,613,284,non_numeric,,duration,100.00,"[""Depreciation is recognised so as to write off the cost or valuation of assets less their residual values over their use…"",""25% Reducing Balance Method"",""15% on reducing balance""]"
CalledUpShareCapitalNotPaidNotExpressedAsCurrentAsset,581,327,numeric,GBP,instant,16.52,"[""-"",""403"",""1000""]"
ProvisionsForLiabilitiesBalanceSheetSubtotal,532,282,numeric,GBP,instant,5.08,"[""0"",""591,696"",""521,181""]"
AddressLine2,528,522,non_numeric,,duration,100.00,"[""Butt Dyke House"",""Airfield Estate"",""14 Carfax""]"
ScopeAccounts,528,528,non_numeric,,duration,100.00,"[""""]"
RevenueRecognitionPolicy,523,523,non_numeric,,duration,100.00,"[""Turnover is recognised at the fair value of the consideration received or receivable for goods and services provided in…"",""Turnover represents rental income and service charges receivable in the year, excluding value added tax. Rental income …"",""Turnover comprises the fair value of the consideration received or receivable for the sale of goods and provision of se…""]"
BankBorrowingsOverdrafts,516,190,numeric,GBP,instant,18.60,"[""60,359"",""42,883"",""50,000""]"
PrincipalCurrencyUsedInBusinessReport,501,501,non_numeric,,duration,100.00,"["""",""£ sterling""]"
OtherDebtors,486,261,numeric,EUR; GBP,instant,6.17,"[""40,000"",""17,500"",""26,094""]"
DescriptionShareType,481,423,non_numeric,,duration,100.00,"[""Ordinary"",""Ordinary shares"",""ordinary shares""]"
FinancialStatementsArePreparedOnGoing-concernBasisTruefalse,470,469,non_numeric,,duration,100.00,"[""Atrue"",""true"",""The accounts have been prepared on the going concern basis as the director will provide sufficient funds to enable the …""]"
ParValueShare,468,417,numeric,EUR; GBP; pure; shares,duration,0.00,"[""1.00000"",""1"",""1.00""]"
OtherTaxationSocialSecurityPayable,467,244,numeric,GBP,instant,3.85,"[""26,970"",""18,427"",""145,893""]"
TradeDebtorsTradeReceivables,442,235,numeric,EUR; GBP,instant,4.75,"[""58,834"",""61,055"",""941,046""]"
AccruedLiabilitiesNotExpressedWithinCreditorsSubtotal,432,236,numeric,GBP,instant,4.40,"[""0"",""2,100"",""2,600""]"
CompanyHasPublishedCommitmentToUKEffectiveStewardshipCodeTruefalse,416,416,non_numeric,,duration,100.00,"[""false""]"
InvestmentEntityRequiredToApplyExceptionFromConsolidationTruefalse,416,416,non_numeric,,duration,100.00,"[""false""]"
TaxPolicy,411,411,non_numeric,,duration,100.00,"[""The tax expense represents the sum of the tax currently payable and deferred tax."",""Taxation for the year comprises current and deferred tax. Tax is recognised in the Income Statement, except to the exte…"",""The tax expense for the period comprises current and deferred tax. Tax is recognised in profit or loss, except that a c…""]"
TotalInventories,404,211,numeric,GBP,instant,5.45,"[""39,500"",""6,800"",""1,761,869""]"
StatementThatCompanyEntitledToExemptionFromAuditUnderSection480CompaniesAct2006RelatingToDormantCompanies,400,400,non_numeric,,duration,100.00,"[""For the year ending 31 December 2021 the company was entitled to exemption under section 480 of the Companies Act 2006 …"",""For the year ending 31 March 2021 the company was entitled to exemption under section 480 of the Companies Act 2006 rel…"",""For the year ending 30 April 2021 the company was entitled to exemption under section 480 of the Companies Act 2006 rel…""]"
CountyRegion,398,392,non_numeric,,duration,100.00,"[""East Yorkshire"",""West Sussex"",""Middlesex""]"
NameEntityAccountants,394,381,non_numeric,,duration,100.00,"[""HSKS Greenhalgh"",""Whitnalls"",""Barber & Company""]"
DefinedBenefitPlanMulti-employerPlanTruefalse,388,388,non_numeric,,duration,100.00,"[""false""]"
ReportPeriod,380,380,non_numeric,,duration,100.00,"[""""]"
PrepaymentsAccruedIncomeNotExpressedWithinCurrentAssetSubtotal,341,190,numeric,GBP; USD,instant,31.67,"[""-"",""4,794"",""4,180""]"
CompanyHasActedAsAnAgentDuringPeriodTruefalse,338,338,non_numeric,,duration,100.00,"[""false"",""true""]"
TotalAdditionsIncludingFromBusinessCombinationsPropertyPlantEquipment,332,169,numeric,GBP,duration,16.27,"[""29,168"",""329"",""4,350""]"
AccruedLiabilitiesDeferredIncome,331,177,numeric,GBP; USD,instant,4.83,"[""5,000"",""7,320"",""130,397""]"
GeneralDescriptionBasisMeasurementUsedInPreparingFinancialStatements,330,330,non_numeric,,duration,100.00,"[""The financial statements have been prepared under the historical cost convention, modified to include the revaluation o…"",""These financial statements have been prepared using the historical cost convention except that as disclosed in the acco…"",""These financial statements have been prepared in accordance with the provisions of Section 1A (Small Entities) of Finan…""]"
DescriptionMeasurementBasisForPropertyPlantEquipment,329,283,non_numeric,,duration,100.00,"[""Tangible fixed assets"",""Depreciation is provided at the following annual rates in order to write off each asset over its estimated useful life."",""Depreciation is charged so as to write off the cost of assets, other than land and properties under construction over t…""]"
NumberSharesAllotted,326,304,numeric,shares,duration,0.00,"[""1000"",""5"",""2""]"
CorporationTaxPayable,325,168,numeric,GBP,instant,6.77,"[""13,429"",""16,675"",""32,724""]"
PropertyPlantEquipmentPolicy,298,253,non_numeric,,duration,100.00,"[""Tangible assets are stated in the balance sheet at cost, less any subsequent accumulated depreciation and subsequent ac…"",""Tangible fixed assets are measured at cost less accumulative depreciation and any accumulative impairment losses. Depre…"",""Depreciation is provided at the following annual rates in order to write off each asset over its estimated useful life:…""]"
DeferredTaxPolicy,297,297,non_numeric,,duration,100.00,"[""Deferred tax liabilities are generally recognised for all timing differences and deferred tax assets are recognised to …"",""Deferred tax is recognised in respect of all timing differences that have originated but not reversed at the balance sh…"",""Deferred tax is recognised in respect of all timing differences between taxable profits and profits reported in the fin…""]"
EntityHasClaimedExemptionFromReportingDisclosureRelatedPartyTransactionsForWholly-ownedEntitiesTruefalse,289,289,non_numeric,,duration,100.00,"[""true"",""false""]"
TaxationSocialSecurityPayable,276,155,numeric,EUR; GBP,instant,3.62,"[""11,970"",""14,705"",""15,093""]"
EntityHasTakenExemptionUnderCompaniesActInNotPublishingItsOwnProfitLossAccountTruefalse,273,273,non_numeric,,duration,100.00,"[""The director of the company has elected not to include a copy of the profit and loss account within the financial state…"",""true"",""The director of the company have elected not to include a copy of the profit and loss account within the financial stat…""]"
AdditionsOtherThanThroughBusinessCombinationsPropertyPlantEquipment,268,114,numeric,GBP,duration,4.10,"[""290,909"",""0"",""10,607""]"
IntangibleAssets,251,73,numeric,GBP,instant,10.36,"[""0"",""7,910"",""10,549""]"
NumberSharesIssuedFullyPaid,230,119,numeric,shares,instant,0.00,"[""5,000"",""100"",""2""]"
InventoriesPolicy,199,199,non_numeric,,duration,100.00,"[""Stocks are stated at the lower of cost and estimated selling price less costs to complete and sell. Cost comprises dire…"",""Stocks are stated at the lower of cost and estimated selling price less costs to complete and sell"",""At each reporting date, an assessment is made for impairment. Any excess of the carrying amount of stocks over its esti…""]"
FunctionalPresentationCurrencyPolicy,185,185,non_numeric,,duration,100.00,"[""The presentation currency of the financial statements is the Pound Sterling (£)."",""The accounts are presented in £ sterling."",""The functional and presentational currency of the company is Sterling. The accounts are rounded to the nearest pound.""]"
AddressLine3,181,181,non_numeric,,duration,100.00,"[""33 Park Row"",""Pocklington"",""Bessborough Road""]"
ProfitLoss,177,91,numeric,GBP,duration,0.56,"[""69,711"",""56,184"",""503,678""]"
AccruedLiabilities,174,93,numeric,GBP,instant,4.60,"[""950"",""1,305"",""6,342""]"
IntangibleAssetsGrossCost,171,77,numeric,GBP,instant,0.58,"[""555,000"",""51,417"",""7,500""]"
DefinedContributionPensionsPolicy,170,170,non_numeric,,duration,100.00,"[""Payments to defined contribution retirement benefit schemes are charged as an expense as they fall due."",""The company operates a defined contribution pension scheme. Contributions payable to the company's pension scheme are c…"",""Contributions to defined contribution plans are expensed in the period to which they relate.""]"
FinanceLeaseLiabilitiesPresentValueTotal,169,44,numeric,GBP,instant,9.47,"[""0"",""5,417"",""3,911""]"
AccumulatedAmortisationImpairmentIntangibleAssets,162,68,numeric,GBP,instant,4.32,"[""555,000"",""40,868"",""43,507""]"
CashCashEquivalentsPolicy,147,147,non_numeric,,duration,100.00,"[""Cash and cash equivalents"",""Cash at bank and in hand"",""Cash and cash equivalents comprise cash on hand and call deposits, and other short-term highly liquid investments that …""]"
BankBorrowings,141,74,numeric,GBP,instant,3.55,"[""1,398,521"",""1,487,672"",""39,374""]"
CurrentIncomeTaxPolicy,141,141,non_numeric,,duration,100.00,"[""The tax currently payable is based on taxable profit for the year. Taxable profit differs from net profit as reported i…"",""The current income tax charge is calculated on the basis of tax rates and laws that have been enacted or substantively …"",""The taxation expense represents the aggregate amount of current and deferred tax recognised in the reporting period. Ta…""]"
EntityHasClaimedExemptionFromReportingDisclosureKeyManagementPersonnelCompensationTruefalse,133,133,non_numeric,,duration,100.00,"[""true"",""false""]"
GeneralDescriptionAnyOff-balanceSheetArrangementsIncludingNaturePurposeFinancialImpactOnEntity,122,122,non_numeric,,duration,100.00,"[""No"",""COVID-19At the date of approval of the accounts it has not been possible to quantify or ascertain with any certainty an…"",""Since the end of December 2019, there has been an outbreak of coronavirus (Covid-19). On 12th March 2020 the WHO declar…""]"
ForeignCurrencyTranslationOperationsPolicy,113,113,non_numeric,,duration,100.00,"[""Transactions in currencies other than pounds sterling are recorded at the rates of exchange prevailing at the dates of …"",""Transactions in foreign currencies are initially recorded at the functional currency rate prevailing at the date of the…"",""Assets and liabilities in foreign currencies are translated into sterling at the rates of exchange ruling at the balanc…""]"
PrepaymentsAccruedIncome,109,58,numeric,GBP,instant,8.26,"[""97,744"",""87,718"",""102""]"
FinancialInstrumentsClassificationPolicy,102,102,non_numeric,,duration,100.00,"[""The company has elected to apply the provisions of Section 11 ‘Basic Financial Instruments’ and Section 12 ‘Other Finan…"",""The company only has basic financial instruments measured at amortised cost."",""The company only enters into basic financial instruments transactions that results in the recognition of financial asse…""]"
DateAuditorsReport,101,100,non_numeric,,instant,100.00,"[""14 January 2022"",""18 October 2021"",""04 January 2022""]"
InvestmentsFixedAssets,100,52,numeric,GBP,instant,4.00,"[""14,641"",""0"",""-""]"
FinancialInstrumentsRecognitionMeasurementPolicy,97,97,non_numeric,,duration,100.00,"[""Basic financial assets, which include debtors and cash and bank balances, are initially measured at transaction price i…"",""Financial instruments are classified and accounted for, according to the substance of the contractual arrangement, as e…"",""Unlisted investments are recognised initially at fair value less attributable transaction costs. Subsequent to initial …""]"
FutureMinimumLeasePaymentsUnderNon-cancellableOperatingLeases,97,24,numeric,GBP,instant,5.15,"[""91,953"",""7,572"",""0""]"
LoansFromDirectors,96,55,numeric,GBP,instant,9.38,"[""20,242"",""25,704"",""7,434""]"
StatementThatMembersHaveAgreedToPreparationAbridgedAccountsUnderSection444CompaniesAct2006,95,95,non_numeric,,duration,100.00,"[""All the members have consented to the preparation of an abridged Income Statement and an abridged Balance Sheet for the…"",""The members have agreed to the preparation of abridged accounts for this accounting period in accordance with Section 4…"",""All of the company’s members have consented to the preparation of an Abridged Balance Sheet in accordance with Section …""]"
InvestmentProperty,94,46,numeric,GBP,instant,0.00,"[""6,196,255"",""89,491"",""450,000""]"
AmountsOwedToDirectors,93,54,numeric,GBP,instant,1.08,"[""696"",""12,124"",""7,260""]"
DateSigningDirectorsReport,93,93,non_numeric,,instant,100.00,"[""11 August 2021"",""23 December 2021"",""10 January 2022""]"
GovernmentGrantsOtherGovernmentAssistancePolicy,92,92,non_numeric,,duration,100.00,"[""Government grants are recognised at the fair value of the asset receive"",""The company has accessed government grants and support during the Covid-19 pandemic in relation to the Coronavirus Job …"",""Government grants are recognised at the fair value of the asset received or receivable. Grants are not recognised until…""]"
DisposalsPropertyPlantEquipment,85,41,numeric,GBP,duration,21.18,"[""38,500"",""224,137"",""3,750""]"
LeasesPolicy,85,85,non_numeric,,duration,100.00,"[""Leases are classified as finance leases whenever the terms of the lease transfer substantially all the risks and reward…"",""Rentals paid under operating leases are charged to profit or loss on a straight line basis over the period of the lease."",""Leases in which substantially all the risks and rewards of ownership are retained by the lessor are classified as opera…""]"
AdvancesCreditsDirectors,83,28,numeric,GBP,instant,10.84,"[""74"",""8,531"",""54""]"
TurnoverRevenue,82,44,numeric,GBP,duration,0.00,"[""6,822,927"",""6,833,455"",""13,700""]"
DisposalsDecreaseInDepreciationImpairmentPropertyPlantEquipment,78,38,numeric,GBP,duration,21.79,"[""97,255"",""1,641"",""9,244""]"
DirectorSigningDirectorsReport,77,75,non_numeric,,duration,100.00,"[""""]"
IntangibleAssetsPolicy,76,76,non_numeric,,duration,100.00,"[""Goodwill is normally written off against reserves over the directors' estimate of it's expected useful life of five yea…"",""Intangible fixed assets are measured at cost less accumulative amortisation and any accumulative impairment losses."",""Goodwill, being the amount paid in connection with the acquisition of a business in 2012, has been fully amortised.""]"
DateAccountantsReport,71,71,non_numeric,,instant,100.00,"[""6 October 2021"",""26 November 2021"",""20 January 2022""]"
TradePayablesPolicy,69,69,non_numeric,,duration,100.00,"[""Trade creditors are obligations to pay for goods or services that have been acquired in the ordinary course of business…"",""Short term creditors are measured at the transaction price. Other financial liabilities, including bank loans, are meas…"",""Trade and other creditors are initially recognised at fair value and thereafter stated at amortised cost using the effe…""]"
EntityHasClaimedExemptionFromPresentingCashFlowStatementNotesInLineWithFRS1021.12bTruefalse,67,67,non_numeric,,duration,100.00,"[""false"",""true""]"
InvestmentPropertyFairValueModel,67,44,numeric,GBP,instant,0.00,"[""6,196,255"",""89,491"",""450,000""]"
Prepayments,66,34,numeric,GBP,instant,10.61,"[""43,772"",""61,596"",""86,342""]"
TradeReceivablesPolicy,66,66,non_numeric,,duration,100.00,"[""Trade debtors"",""Trade debtors are amounts due from customers for merchandise sold or services performed in the ordinary course of busin…"",""Trade and other debtors are initially recognised at fair value and thereafter stated at amortised cost using the effect…""]"
TaxationIncludingDeferredTaxationBalanceSheetSubtotal,64,34,numeric,GBP,instant,1.56,"[""483,411"",""417,168"",""149""]"
OtherRemainingBorrowings,62,27,numeric,GBP,instant,8.06,"[""51,527"",""38,584"",""3,200""]"
ProvisionsPolicy,62,62,non_numeric,,duration,100.00,"[""Provisions (ie liabilities of uncertain timing or amount) are recognised when there is an obligation at the reporting d…"",""Provisions are recognised when the entity has an obligation at the reporting date as a result of a past event, it is pr…"",""Provisions are made where an event has taken place that gives the Company a legal or constructive obligation that proba…""]"
ImpairmentNon-financialAssetsPolicy,61,61,non_numeric,,duration,100.00,"[""At each reporting"",""A review for indicators of impairment is carried out at each reporting date, with the recoverable amount being estimate…"",""Assets that are subject to depreciation or amortisation are assessed at each balance sheet date to determine whether th…""]"
TaxTaxCreditOnProfitOrLossOnOrdinaryActivities,61,35,numeric,GBP,duration,1.64,"[""98,967"",""148,425"",""0""]"
NominalValueAllottedShareCapital,60,32,numeric,GBP,duration,0.00,"[""2"",""102"",""100""]"
TotalBorrowings,60,21,numeric,GBP,instant,0.00,"[""454,554"",""213,313"",""86,780""]"
EmployeeBenefitsPolicy,58,58,non_numeric,,duration,100.00,"[""The costs of short-term employee benefits are recognised as a liability and an expense, unless those costs are required…"",""The company operates a statutory pension scheme. Employer contributions payable to the company's pension scheme are cha…"",""The group operates defined contribution pension schemes. The amount charged to the profit and loss account in respect o…""]"
Value-addedTaxPayable,57,32,numeric,GBP,instant,3.51,"[""1,156"",""26,931"",""416""]"
IncreaseFromAmortisationChargeForYearIntangibleAssets,54,40,numeric,GBP,duration,1.85,"[""2,639"",""1,920"",""3,394""]"
AmountsOwedToGroupUndertakings,52,27,numeric,GBP,instant,5.77,"[""73,985"",""832,500"",""-""]"
OtherDisposalsPropertyPlantEquipment,52,22,numeric,GBP,duration,5.77,"[""0"",""70,447"",""124,092""]"
StaffCostsEmployeeBenefitsExpense,51,29,numeric,GBP,duration,0.00,"[""2,179,277"",""1,654,836"",""5,200""]"
AdministrationSupportAverageNumberEmployees,48,24,numeric,pure,duration,0.00,"[""1"",""2"",""21""]"
AdvancesCreditsMadeInPeriodDirectors,48,28,numeric,GBP,duration,12.50,"[""8,457"",""75"",""8,382""]"
OtherDisposalsDecreaseInDepreciationImpairmentPropertyPlantEquipment,48,21,numeric,GBP,duration,6.25,"[""0"",""70,447"",""43,399""]"
OtherOperatingExpensesFormat2,48,28,numeric,GBP,duration,0.00,"[""0"",""15,589"",""27,251""]"
ShareCapitalPolicy,48,48,non_numeric,,duration,100.00,"[""Ordinary shares are classified as equity. Equity instruments are measured at the fair value of the cash or other resour…""]"
BankOverdrafts,47,29,numeric,GBP,instant,2.13,"[""626"",""8,771"",""2,000""]"
FinanceLeasePaymentsOwingMinimumGross,46,10,numeric,GBP,instant,13.04,"[""3,757"",""-"",""3,554""]"
ComprehensiveIncomeExpense,45,13,numeric,GBP,duration,8.89,"[""503,678"",""1,195,773"",""4,263""]"
DescriptionAmortisationMethodForIntangibleAssets,45,33,non_numeric,,duration,100.00,"[""Goodwill, being the amount paid in connection with the acquisition of a business in 2004, is being amortised evenly ove…"",""Amortisation is provided on intangible assets so as to write off the cost, less any estimated residual value, over thei…"",""Straight Line 10%""]"
DividendsPaid,45,27,numeric,GBP,duration,0.00,"[""50,000"",""47,000"",""8,000""]"
EntityHasClaimedExemptionFromFRS102Chapters1112DisclosureRequirementsInLineWithFRS1021.12cTruefalse,45,45,non_numeric,,duration,100.00,"[""true"",""false""]"
EntityHasClaimedExemptionFromReportingCertainInformationOnShareBasedPaymentsInLineWithFRS1021.12dTruefalse,45,45,non_numeric,,duration,100.00,"[""false"",""true""]"
RawMaterialsConsumablesUsed,45,26,numeric,GBP,duration,0.00,"[""5,330"",""1,962"",""4,817""]"
EntityHasClaimedExemptionFromReportingDisclosureRelatedPartyTransactionsForGovernment-relatedEntitiesTruefalse,44,44,non_numeric,,duration,100.00,"[""false""]"
IndependentValuerWasInvolvedInRevaluationPropertyPlantEquipmentTruefalse,44,44,non_numeric,,duration,100.00,"[""false""]"
ReportAnAmendedRevisedVersionPreviouslyFiledReportTruefalse,44,44,non_numeric,,duration,100.00,"[""false""]"
ReportAnInitialFinancialStatementFromPubliclyListedEntityTruefalse,44,44,non_numeric,,duration,100.00,"[""false""]"
ReportAnInterimFinancialStatementFromPubliclyListedEntityTruefalse,44,44,non_numeric,,duration,100.00,"[""false""]"
RecoverableValue-addedTax,41,25,numeric,GBP,instant,17.07,"[""24"",""704"",""3,407""]"
DividendPolicy,40,40,non_numeric,,duration,100.00,"[""Dividend distribution to the company’s shareholders is recognised as a liability in the financial statements in the rep…"",""Equity dividends are recognised when they become legally payable. Interim equity dividends are recognised when paid. Fi…"",""Proposed dividends are only included as liabilities in the statement of financial position when their payment has been …""]"
OtherOperatingIncomeFormat2,38,23,numeric,GBP,duration,0.00,"[""0"",""51"",""1,285""]"
InvestmentPropertyPolicy,37,37,non_numeric,,duration,100.00,"[""Investment property is shown at most recent valuation. Any aggregate surplus or deficit arising from changes in fair va…"",""Investment properties are revalued annually and any surplus or deficit is dealt with through the profit and loss accoun…"",""Investment property is carried at fair value determined annually by the members and derived from the current market ren…""]"
DepreciationRateUsedForPropertyPlantEquipment,36,18,numeric,pure,duration,0.00,"[""15"",""20"",""25""]"
LesseePolicy,36,36,non_numeric,,duration,100.00,"[""A lease is classified as a finance lease if it transfers substantially all the risks and rewards incidental to ownershi…"",""Where the company enters into a lease which entails taking substantially all the risks and rewards of ownership of an a…"",""Rentals applicable to operating leases where substantially all of the benefits and risks of ownership remain with the l…""]"
ModelUsedToMeasureInvestmentProperty,35,35,non_numeric,,duration,100.00,"[""Fair value model"",""Investment property, which is property held to earn rentals and/or for capital appreciation, is initially recognised at…""]"
ProfitLossOnOrdinaryActivitiesBeforeTax,35,19,numeric,GBP,duration,0.00,"[""602,645"",""1,344,198"",""74,858""]"
DepreciationAmortisationImpairmentExpense,34,20,numeric,GBP,duration,0.00,"[""1,500"",""0"",""249""]"
Investments,34,15,numeric,GBP,instant,11.76,"[""-"",""753"",""5,000""]"
AdministrativeExpenses,33,18,numeric,GBP,duration,0.00,"[""1,122,254"",""988,310"",""249,973""]"
CorporationTaxRecoverable,33,17,numeric,GBP,instant,15.15,"[""33,811"",""55,257"",""2,378""]"
GeneralDescriptionAdvancesCreditsToDirectorsIncludingTermsInterestRates,33,33,non_numeric,,duration,100.00,"[""Loan from the company to the director. Interest charged at HMRC's official rates"",""Please note advances to directors to cover expenses, are included in other debtors."",""The directors operate current accounts. As at the year end there was a credit balance of £654 (2020 - £42 credit).""]"
GrossProfitLoss,33,18,numeric,GBP,duration,0.00,"[""1,669,514"",""2,333,944"",""299,831""]"
NameEntityAuditors,33,32,non_numeric,,duration,100.00,"[""Finnies Accountants Limited"",""Moore Kingston Smith LLP"",""Brearley & Co Accountants (Dinnington) Limited""]"
DirectorRemuneration,32,16,numeric,GBP,duration,0.00,"[""8,052"",""217,069"",""195,113""]"
OtherInvestmentsOtherThanLoans,32,15,numeric,GBP,instant,0.00,"[""300,519"",""258,019"",""9,966""]"
AdvancesCreditsRepaidInPeriodDirectors,30,22,numeric,GBP,duration,23.33,"[""2,000"",""20,260"",""22,260""]"
